precio_cop,area_m2,habitaciones,banos,estrato,parqueaderos,antiguedad_anos,conjunto_cerrado,tipo_inmueble,dist_aeropuerto_km,dist_centro_km,dist_san_nicolas_km,barrio,fuente
1130000000.0,160.0,3,3,5,2,3,si,casa,5.362,2.922,2.965,san antonio,ciencuadras
229500000.0,52.0,2,2,3,,4,no,apartamento,4.335,1.441,1.319,rionegro,metrocuadrado
630000000.0,68.0,2,3,5,1,1,si,apartamento,3.302,2.577,2.513,el porvenir,lonja_propiedad_raiz
570000000.0,66.13,2,2,5,1,1,si,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
505000000.0,68.0,2,2,5,1,,no,apartamento,5.944,0.56,0.682,monseñor alfonso uribe jaramillo,metrocuadrado
280000000.0,56.0,3,2,3,1,,no,apartamento,5.523,0.768,0.836,monseñor alfonso uribe jaramillo,ciencuadras
520000000.0,75.0,2,2,5,1,,no,apartamento,3.334,2.458,2.389,el porvenir,metrocuadrado
558000000.0,64.0,2,2,5,,,si,apartamento,6.333,1.515,1.627,san antonio,metrocuadrado
345000000.0,50.0,2,2,3,,,no,apartamento,4.03,1.944,1.9,el porvenir,ciencuadras
409900000.0,54.0,2,2,4,1,,no,apartamento,4.063,1.676,1.613,el porvenir,ciencuadras
1390000000.0,240.0,4,3,5,1,,no,casa,3.2,2.91,2.855,el porvenir,lonja_propiedad_raiz
310000000.0,56.0,2,2,4,1,,no,apartamento,8.064,2.474,2.582,monseñor alfonso uribe jaramillo,ciencuadras
300000000.0,100.0,4,2,3,1,,no,casa,4.539,1.134,1.017,liborio mejia,metrocuadrado
320000000.0,58.0,3,2,4,1,1,no,apartamento,5.109,1.486,1.373,rionegro,lonja_propiedad_raiz
1350000000.0,167.0,3,4,6,1,,si,casa,5.525,2.345,2.4,san antonio,lonja_propiedad_raiz
1280000000.0,130.0,2,2,6,2,,no,apartamento,5.244,0.754,0.778,el porvenir,metrocuadrado
3500000000.0,360.0,3,4,,2,1,no,casa_campestre,1.955,5.141,5.077,rionegro,metrocuadrado
350000000.0,52.0,3,2,4,1,1,si,apartamento,5.02,0.865,0.739,el porvenir,ciencuadras
1310000000.0,290.0,3,3,5,2,1,si,casa,3.14,2.726,2.66,el porvenir,ciencuadras
470000000.0,69.0,3,2,3,1,1,no,apartamento,6.134,3.307,3.374,san antonio,ciencuadras
1390000000.0,253.0,5,5,5,2,,no,casa,5.523,0.768,0.836,rionegro,ciencuadras
2950000000.0,300.0,4,4,6,2,,si,casa,5.523,0.768,0.836,rionegro,ciencuadras
420000000.0,58.0,2,2,5,,1,no,apartamento,6.738,1.879,1.997,rionegro,ciencuadras
1290000000.0,400.0,3,3,,,,no,casa_campestre,5.6,0.022,0.139,liborio mejia,metrocuadrado
1030000000.0,210.0,4,5,5,1,1,si,casa,6.222,2.757,2.836,san antonio,ciencuadras
300000000.0,55.0,2,2,4,,,no,apartamento,5.602,0.015,0.136,liborio mejia,ciencuadras
4200000000.0,350.0,3,5,,6,1,no,casa_campestre,5.6,0.022,0.139,liborio mejia,metrocuadrado
395000000.0,28.0,2,2,4,1,1,no,apartamento,6.197,4.216,4.272,rionegro,metrocuadrado
1100000000.0,182.7,4,5,5,,,no,casa,5.602,0.015,0.136,liborio mejia,metrocuadrado
5500000000.0,1000.0,5,6,6,7,1,no,casa,4.706,3.843,3.855,rionegro,ciencuadras
1900000000.0,210.0,4,3,5,2,1,si,casa,5.523,0.768,0.836,rionegro,ciencuadras
2600000000.0,450.0,3,4,5,4,,si,casa,3.517,6.375,6.337,rionegro,ciencuadras
6200000000.0,547.0,3,5,6,3,,no,casa,5.361,6.137,6.144,rionegro,lonja_propiedad_raiz
7800000000.0,1000.0,7,7,5,10,1,no,casa,3.676,8.303,8.24,rionegro,ciencuadras
3975000000.0,1815.0,5,5,5,2,,no,casa,4.011,4.262,4.251,rionegro,ciencuadras
1150000000.0,107.56,2,3,6,2,1,si,apartamento,5.244,0.754,0.778,el porvenir,lonja_propiedad_raiz
570000000.0,66.4,3,2,5,2,,si,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
6000000000.0,576.0,3,4,6,4,,si,casa,5.523,0.768,0.836,rionegro,lonja_propiedad_raiz
950000000.0,170.0,4,5,5,1,1,no,casa,6.06,3.581,3.641,san antonio,metrocuadrado
2490000000.0,200.0,3,3,6,4,,no,casa,4.74,4.219,4.23,rionegro,ciencuadras
3480000000.0,350.0,4,5,5,8,,si,casa,6.431,6.02,6.055,rionegro,ciencuadras
630000000.0,97.0,3,3,5,1,1,si,apartamento,5.523,0.768,0.836,rionegro,ciencuadras
290000000.0,48.0,2,2,4,1,,no,apartamento,6.834,1.268,1.385,monseñor alfonso uribe jaramillo,ciencuadras
1390000000.0,253.0,5,5,4,2,,no,apartamento,6.5,0.906,1.018,otras,lonja_propiedad_raiz
530000000.0,87.7,3,2,5,1,,no,apartamento,6.185,2.714,2.792,san antonio,ciencuadras
310000000.0,52.0,2,2,4,1,,no,apartamento,7.226,2.027,2.05,monseñor alfonso uribe jaramillo,lonja_propiedad_raiz
520000000.0,66.0,2,2,4,1,1,si,apartamento,7.226,2.027,2.051,monseñor alfonso uribe jaramillo,ciencuadras
310000000.0,50.0,2,2,4,,,no,apartamento,5.602,0.015,0.136,liborio mejia,ciencuadras
570000000.0,65.0,3,2,5,1,,no,apartamento,5.523,0.768,0.836,rionegro,metrocuadrado
345000000.0,49.6,3,2,4,1,,no,apartamento,5.559,0.827,0.742,liborio mejia,lonja_propiedad_raiz
695000000.0,77.95,3,2,5,1,1,no,apartamento,5.983,1.082,1.187,monseñor alfonso uribe jaramillo,ciencuadras
850000000.0,86.0,3,3,5,1,1,si,apartamento,3.498,2.659,2.612,el porvenir,ciencuadras
430000000.0,72.0,2,2,4,1,,no,apartamento,5.363,2.777,2.82,san antonio,ciencuadras
949000000.0,170.0,4,5,5,1,,si,casa,5.523,0.768,0.836,rionegro,ciencuadras
720000000.0,212.0,3,4,5,1,,si,casa,6.862,1.328,1.397,monseñor alfonso uribe jaramillo,ciencuadras
3000000000.0,330.0,3,5,3,2,1,si,casa,2.6,7.523,7.407,rionegro,ciencuadras
340000000.0,50.2,2,2,5,1,6,no,apartamento,5.388,1.04,0.939,liborio mejia,lonja_propiedad_raiz
2600000000.0,380.0,4,5,5,2,6,si,casa,5.523,0.768,0.836,rionegro,lonja_propiedad_raiz
880000000.0,220.0,3,4,,3,,no,casa_campestre,5.523,0.768,0.836,rionegro,lonja_propiedad_raiz
2300000000.0,320.0,3,4,,4,,no,casa_campestre,7.251,2.529,2.648,rionegro,metrocuadrado
445000000.0,56.0,2,2,4,1,,si,apartamento,6.341,3.023,3.102,san antonio,ciencuadras
715000000.0,80.0,3,2,5,1,,no,apartamento,6.852,3.377,3.467,otras,ciencuadras
260000000.0,48.0,2,2,4,1,,si,apartamento,8.176,2.583,2.691,rionegro,metrocuadrado
1200000000.0,1200.0,4,4,5,1,,si,casa,6.61,3.285,3.369,san antonio,ciencuadras
7000000000.0,600.0,5,5,5,3,2,no,casa,5.523,0.768,0.836,rionegro,ciencuadras
1140000000.0,186.0,3,4,5,2,,no,casa,6.115,3.367,3.432,san antonio,metrocuadrado
1350000000.0,107.0,2,2,6,2,1,no,apartamento,5.613,6.374,6.384,rionegro,ciencuadras
225000000.0,48.0,3,2,3,,,no,apartamento,6.279,2.537,2.623,san antonio,metrocuadrado
970000000.0,97.0,2,2,5,1,,no,apartamento,1.992,4.15,4.079,rionegro,ciencuadras
300000000.0,56.0,3,2,3,1,12,no,apartamento,6.569,1.104,1.153,monseñor alfonso uribe jaramillo,ciencuadras
625000000.0,171.0,4,3,4,1,,no,casa,5.723,0.121,0.233,liborio mejia,lonja_propiedad_raiz
1590000000.0,230.0,3,5,6,2,,no,casa,5.523,0.768,0.836,monseñor alfonso uribe jaramillo,ciencuadras
510000000.0,59.0,2,2,5,1,,si,apartamento,3.37,2.364,2.29,el porvenir,ciencuadras
1150000000.0,230.0,3,4,5,2,1,no,casa,4.676,1.192,1.163,el porvenir,ciencuadras
285000000.0,55.0,3,2,4,1,1,si,apartamento,7.226,2.027,2.05,monseñor alfonso uribe jaramillo,metrocuadrado
320000000.0,49.0,2,2,4,,,si,apartamento,7.082,1.675,1.722,monseñor alfonso uribe jaramillo,metrocuadrado
1350000000.0,167.0,3,4,5,2,8,si,casa,4.759,3.417,3.433,rionegro,lonja_propiedad_raiz
380000000.0,60.0,3,2,4,2,3,si,apartamento,4.351,1.543,1.418,rionegro,ciencuadras
335000000.0,53.0,2,2,3,,1,no,apartamento,7.086,1.681,1.728,monseñor alfonso uribe jaramillo,metrocuadrado
260000000.0,48.0,3,2,3,1,,si,apartamento,8.166,2.574,2.681,monseñor alfonso uribe jaramillo,ciencuadras
620000000.0,67.0,2,2,2,1,,no,apartamento,7.446,1.869,1.953,rionegro,ciencuadras
299000000.0,56.0,3,2,4,1,,si,apartamento,5.256,0.973,0.862,liborio mejia,ciencuadras
557000000.0,68.0,2,2,5,1,1,no,apartamento,4.555,1.36,1.33,el porvenir,lonja_propiedad_raiz
275000000.0,49.0,2,1,3,,,si,apartamento,7.086,1.681,1.728,monseñor alfonso uribe jaramillo,lonja_propiedad_raiz
260000000.0,49.0,2,2,4,,1,si,apartamento,3.937,1.667,1.574,rionegro,ciencuadras
2800000000.0,500.0,3,4,4,14,8,si,casa,5.77,0.19,0.266,otras,metrocuadrado
